productCode,productName,quantityInStock,total_sold,stock_category
S18_2238,"1998 Chrysler Plymouth Prowler",4724,986,"High Sales"
S10_4698,"2003 Harley-Davidson Eagle Drag Bike",5582,985,"High Sales"
S18_2957,"1934 Ford V8 Coupe",5649,985,"High Sales"
S700_2466,"America West Airlines B757-200",9653,984,"High Sales"
S24_4258,"1936 Chrysler Airflow",4710,983,"High Sales"
S24_2840,"1958 Chevy Corvette Limited Edition",2542,983,"High Sales"
S50_1392,"Diamond T620 Semi-Skirted Tanker",1016,979,"High Sales"
S24_1444,"1970 Dodge Coronet",4074,976,"High Sales"
S18_3278,"1969 Dodge Super Bee",1917,974,"High Sales"
S700_2834,"ATA: B757-300",7106,973,"High Sales"
S18_1889,"1948 Porsche 356-A Roadster",8826,972,"High Sales"
S24_1785,"1928 British Royal Navy Airplane",3627,972,"High Sales"
S12_1666,"1958 Setra Bus",1579,972,"High Sales"
S24_3371,"1971 Alpine Renault 1600s",7995,969,"High Sales"
S50_1514,"1962 City of Detroit Streetcar",1645,966,"High Sales"
S18_3029,"1999 Yamaha Speed Boat",4259,966,"High Sales"
S12_3891,"1969 Ford Falcon",1049,965,"High Sales"
S12_3148,"1969 Corvair Monza",6906,963,"High Sales"
S10_1949,"1952 Alpine Renault 1300",7305,961,"High Sales"
S18_1367,"1936 Mercedes-Benz 500K Special Roadster",8635,960,"High Sales"
S72_1253,"Boeing X-32A JSF",4857,960,"High Sales"
S18_3782,"1957 Vespa GS150",7689,959,"High Sales"
S18_2325,"1932 Model A Ford J-Coupe",9354,957,"High Sales"
S24_2022,"1938 Cadillac V-16 Presidential Limousine",2847,955,"High Sales"
S32_2509,"1954 Greyhound Scenicruiser",2874,955,"High Sales"
S700_3505,"The Titanic",1956,952,"High Sales"
S24_2766,"1949 Jaguar XK 120",2350,949,"High Sales"
S18_3685,"1948 Porsche Type 356 Roadster",8990,948,"High Sales"
S18_1129,"1993 Mazda RX-7",3975,947,"High Sales"
S24_2360,"1982 Ducati 900 Monster",6840,947,"High Sales"
S18_4027,"1970 Triumph Spitfire",5545,945,"High Sales"
S18_2625,"1936 Harley Davidson El Knucklehead",4357,945,"High Sales"
S24_4620,"1961 Chevrolet Impala",7869,941,"High Sales"
S24_2841,"1900s Vintage Bi-Plane",5942,940,"High Sales"
S24_1937,"1939 Chevrolet Deluxe Coupe",7332,937,"High Sales"
S700_1138,"The Schooner Bluenose",1897,934,"High Sales"
S32_3207,"1950's Chicago Surface Lines Streetcar",8601,934,"High Sales"
S10_4962,"1962 LanciaA Delta 16V",6791,932,"High Sales"
S12_3380,"1968 Dodge Charger",9123,925,"High Sales"
S24_3816,"1940 Ford Delivery Sedan",6621,923,"High Sales"
S18_1749,"1917 Grand Touring Sedan",2724,918,"High Sales"
S18_3259,"Collectable Wooden Train",6450,918,"High Sales"
S18_1984,"1995 Honda Civic",9772,917,"High Sales"
S18_2581,"P-51-D Mustang",992,917,"High Sales"
S24_1628,"1966 Shelby Cobra 427 S/C",8197,915,"High Sales"
S18_3482,"1976 Ford Gran Torino",9127,915,"High Sales"
S18_1589,"1965 Aston Martin DB5",9042,914,"High Sales"
S24_2972,"1982 Lamborghini Diablo",7723,912,"High Sales"
S32_1268,"1980’s GM Manhattan Express",5099,911,"High Sales"
S18_3136,"18th Century Vintage Horse Carriage",5992,907,"High Sales"
S32_2206,"1982 Ducati 996 R",9241,906,"High Sales"
S12_3990,"1970 Plymouth Hemi Cuda",5663,900,"High Sales"
S32_4485,"1974 Ducati 350 Mk3 Desmo",3341,898,"High Sales"
S700_2047,"HMS Bounty",3501,897,"High Sales"
S700_3962,"The Queen Mary",5088,896,"High Sales"
S24_3432,"2002 Chevy Corvette",9446,894,"High Sales"
S700_1691,"American Airlines: B767-300",5841,894,"High Sales"
S24_3420,"1937 Horch 930V Limousine",2902,884,"High Sales"
S18_3140,"1903 Ford Model A",3913,883,"High Sales"
S24_2887,"1952 Citroen-15CV",1452,873,"High Sales"
S24_3191,"1969 Chevrolet Camaro Z28",4695,870,"High Sales"
S24_4048,"1992 Porsche Cayenne Turbo Silver",6582,867,"High Sales"
S18_4409,"1932 Alfa Romeo 8C2300 Spider Sport",6553,866,"High Sales"
S18_2870,"1999 Indy 500 Monte Carlo SS",8164,855,"High Sales"
S24_3969,"1936 Mercedes Benz 500k Roadster",2081,824,"High Sales"
S24_1046,"1970 Chevy Chevelle SS 454",1005,803,"High Sales"
S18_4933,"1957 Ford Thunderbird",3209,767,"High Sales"
S18_3233,"1985 Toyota Supra",7733,0,"Normal Stock"
S700_3167,"F/A 18 Hornet 1/72",551,1047,Oversold
S24_2000,"1960 BSA Gold Star DBD34",15,1015,Oversold
S32_1374,"1997 BMW F650 ST",178,1014,Oversold
S50_4713,"2002 Yamaha YZR M1",600,992,Oversold
S32_3522,"1996 Peterbilt 379 Stake Bed with Outrigger",814,988,Oversold
S32_4289,"1928 Ford Phaeton Deluxe",136,972,Oversold
S72_3212,"Pont Yacht",414,958,Oversold
S12_1099,"1968 Ford Mustang",68,933,Oversold
S700_1938,"The Mayflower",737,898,Oversold
S18_2795,"1928 Mercedes-Benz SSK",548,880,Oversold
S18_2248,"1911 Ford Town Car",540,832,Oversold
